Lab,Tester_Id,Exp,PVS,Scene,Camera,OS,Timestamp,Camera_w_ver,Orientation
agh,262,ccriq2,PipesNight_T_compct_13mp.JPG,PipesNight,T,4,2017-12-04 15:37:20,Tver1,
agh,274,ccriq2,Senior_F_dslr_5mp.JPG,Senior,F,3,2017-12-04 15:37:20,Fver1,
agh,265,ccriq2,PipesNight_I_phon_5mp.jpg,PipesNight,I,2,2017-12-04 15:37:21,Iver1,
agh,270,ccriq2,PipesNight_J_tab_5mp.JPG,PipesNight,J,1,2017-12-04 15:37:21,Jver1,
agh,271,ccriq2,BouquetPastel_U_dslr_13mp.JPG,BouquetPastel,U,3,2017-12-04 15:37:21,Uver1,
agh,266,ccriq2,Senior_D_tab_1mp.JPG,Senior,D,1,2017-12-04 15:37:21,Dver1,
agh,263,ccriq2,Senior_H_phon_5mp.jpg,Senior,H,5,2017-12-04 15:37:22,Hver1,
agh,267,ccriq2,Senior_O_compct_8mp.JPG,Senior,O,4,2017-12-04 15:37:22,Over1,
agh,282,ccriq2,DenverBotanicGardensRocks_S_phon_13mp.jpg,DenverBotanicGardensRocks,S,2,2017-12-04 15:37:23,Sver1,
agh,262,ccriq2,DenverBotanicGardensRocks_R_phon_13mp.jpg,DenverBotanicGardensRocks,R,2,2017-12-04 15:37:23,Rver1,
agh,259,ccriq2,PipesNight_T_compct_13mp.JPG,PipesNight,T,4,2017-12-04 15:37:23,Tver1,
agh,274,ccriq2,DenverBotanicGardensRocks_B_compct_1mp.JPG,DenverBotanicGardensRocks,B,1,2017-12-04 15:37:24,Bver1,
agh,270,ccriq2,BouquetPastel_F_dslr_5mp.JPG,BouquetPastel,F,4,2017-12-04 15:37:24,Fver1,
agh,271,ccriq2,PipesNight_E_compct_5mp.JPG,PipesNight,E,1,2017-12-04 15:37:24,Ever1,
agh,264,ccriq2,DenverBotanicGardensRocks_R_phon_13mp.jpg,DenverBotanicGardensRocks,R,2,2017-12-04 15:37:24,Rver1,
agh,266,ccriq2,PipesNight_F_dslr_5mp.JPG,PipesNight,F,2,2017-12-04 15:37:24,Fver1,
agh,275,ccriq2,Senior_B_compct_1mp.JPG,Senior,B,2,2017-12-04 15:37:25,Bver1,
agh,282,ccriq2,DenverBotanicGardensRocks_A_phon_1mp.jpg,DenverBotanicGardensRocks,A,1,2017-12-04 15:37:25,Aver1,
agh,267,ccriq2,BouquetPastel_A_phon_1mp.jpg,BouquetPastel,A,2,2017-12-04 15:37:25,Aver1,
agh,269,ccriq2,Senior_R_phon_13mp.jpg,Senior,R,4,2017-12-04 15:37:26,Rver1,
agh,265,ccriq2,PipesNight_T_compct_13mp.JPG,PipesNight,T,4,2017-12-04 15:37:26,Tver1,
agh,270,ccriq2,BouquetPastel_R_phon_13mp.jpg,BouquetPastel,R,4,2017-12-04 15:37:27,Rver1,
agh,259,ccriq2,Senior_E_compct_5mp.JPG,Senior,E,1,2017-12-04 15:37:27,Ever1,
agh,282,ccriq2,PipesNight_E_compct_5mp.JPG,PipesNight,E,1,2017-12-04 15:37:27,Ever1,
agh,266,ccriq2,DenverBotanicGardensRocks_A_phon_1mp.jpg,DenverBotanicGardensRocks,A,2,2017-12-04 15:37:27,Aver1,
agh,274,ccriq2,PipesNight_P_compct_13mp.JPG,PipesNight,P,3,2017-12-04 15:37:28,Pver1,
agh,275,ccriq2,BouquetPastel_O_compct_8mp.JPG,BouquetPastel,O,4,2017-12-04 15:37:28,Over1,
agh,271,ccriq2,DenverBotanicGardensRocks_T_compct_13mp.JPG,DenverBotanicGardensRocks,T,4,2017-12-04 15:37:29,Tver1,
agh,263,ccriq2,PipesNight_O_compct_8mp.JPG,PipesNight,O,1,2017-12-04 15:37:29,Over1,
agh,264,ccriq2,DenverBotanicGardensRocks_B_compct_1mp.JPG,DenverBotanicGardensRocks,B,2,2017-12-04 15:37:29,Bver1,
agh,270,ccriq2,DenverBotanicGardensRocks_W_compct_20mp.JPG,DenverBotanicGardensRocks,W,4,2017-12-04 15:37:29,Wver1,
agh,262,ccriq2,BouquetPastel_K_dslr_8mp.JPG,BouquetPastel,K,3,2017-12-04 15:37:29,Kver1,
agh,269,ccriq2,PipesNight_Q_phon_13mp.jpg,PipesNight,Q,2,2017-12-04 15:37:30,Qver1,
agh,267,ccriq2,DenverBotanicGardensRocks_I_phon_5mp.jpg,DenverBotanicGardensRocks,I,2,2017-12-04 15:37:30,Iver1,
agh,282,ccriq2,PipesNight_M_phon_8mp.JPG,PipesNight,M,2,2017-12-04 15:37:31,Mver1,
agh,266,ccriq2,BouquetPastel_J_tab_5mp.jpg,BouquetPastel,J,4,2017-12-04 15:37:31,Jver1,
agh,275,ccriq2,PipesNight_Q_phon_13mp.jpg,PipesNight,Q,3,2017-12-04 15:37:31,Qver1,
agh,262,ccriq2,BouquetPastel_B_compct_1mp.JPG,BouquetPastel,B,1,2017-12-04 15:37:31,Bver1,
agh,265,ccriq2,PipesNight_R_phon_13mp.jpg,PipesNight,R,2,2017-12-04 15:37:32,Rver1,
agh,274,ccriq2,Senior_L_phon_8mp.JPG,Senior,L,3,2017-12-04 15:37:32,Lver1,
agh,259,ccriq2,DenverBotanicGardensRocks_D_tab_1mp.JPG,DenverBotanicGardensRocks,D,1,2017-12-04 15:37:33,Dver1,
agh,263,ccriq2,DenverBotanicGardensRocks_X_dslr_20mp.JPG,DenverBotanicGardensRocks,X,2,2017-12-04 15:37:33,Xver1,
agh,270,ccriq2,Senior_T_comct_13mp.JPG,Senior,T,5,2017-12-04 15:37:33,Tver1,
agh,267,ccriq2,Senior_N_phon_8mp.jpg,Senior,N,1,2017-12-04 15:37:34,Nver1,
agh,275,ccriq2,BouquetPastel_J_tab_5mp.jpg,BouquetPastel,J,3,2017-12-04 15:37:34,Jver1,
agh,264,ccriq2,DenverBotanicGardensRocks_I_phon_5mp.jpg,DenverBotanicGardensRocks,I,1,2017-12-04 15:37:34,Iver1,
agh,266,ccriq2,BouquetPastel_P_compct_13mp.JPG,BouquetPastel,P,3,2017-12-04 15:37:34,Pver1,
agh,259,ccriq2,DenverBotanicGardensRocks_E_compct_5mp.JPG,DenverBotanicGardensRocks,E,1,2017-12-04 15:37:35,Ever1,
agh,262,ccriq2,PipesNight_I_phon_5mp.jpg,PipesNight,I,2,2017-12-04 15:37:35,Iver1,
agh,271,ccriq2,DenverBotanicGardensRocks_W_compct_20mp.JPG,DenverBotanicGardensRocks,W,4,2017-12-04 15:37:36,Wver1,
agh,274,ccriq2,Senior_E_compct_5mp.JPG,Senior,E,2,2017-12-04 15:37:36,Ever1,
